Serial Number,Name,Location,Type,Size,Camera Name,Date,Category1,Category2,Category3,Category4,Category5
1,produce.jpg,/images/1,png,816,building,28/10/2020,-,Trip,Food,College,University
2,task.jpg,/images/2,png,1260,owner,06/03/2020,Trip,-,Friends,University,College
3,cause.jpg,/images/3,png,4616,military,18/10/2021,-,Food,Trip,Family,College
4,recent.jpg,/images/4,png,3044,house,23/11/2020,College,University,Food,Family,Trip
5,type.jpg,/images/5,png,2293,discussion,23/01/2021,Food,Friends,University,Family,-
6,market.jpg,/images/6,png,2319,listen,14/11/2021,-,Trip,College,Family,Food
7,month.jpg,/images/7,jpeg,2832,best,19/01/2020,-,Trip,College,Food,University
8,so.jpg,/images/8,png,2424,TRUE,06/04/2020,Trip,University,College,Food,Family
9,realize.jpg,/images/9,jpeg,2792,stay,07/12/2021,Family,University,College,Friends,-
10,front.jpg,/images/10,jpeg,952,expert,15/06/2020,Family,University,Friends,College,-
11,world.jpg,/images/11,png,1890,learn,01/07/2022,Trip,Family,Friends,University,College
12,growth.jpg,/images/12,png,3490,loss,22/12/2021,Trip,Family,-,Food,University
13,establish.jpg,/images/13,jpeg,1970,such,04/08/2023,University,Friends,College,Family,-
14,conference.jpg,/images/14,jpeg,1523,partner,27/04/2020,College,Friends,University,Trip,Food
15,others.jpg,/images/15,jpeg,1979,lead,25/10/2021,University,Trip,College,Family,Friends
16,hundred.jpg,/images/16,jpeg,2751,sing,05/03/2021,-,Family,University,Trip,Friends
17,research.jpg,/images/17,png,2127,break,01/05/2023,University,Food,Family,College,Friends
18,free.jpg,/images/18,jpeg,662,cause,17/12/2022,Friends,Food,-,College,Family
19,learn.jpg,/images/19,jpeg,1875,now,18/10/2021,-,Friends,Food,University,Trip
20,determine.jpg,/images/20,png,2421,bit,07/09/2023,University,Food,Family,Trip,-
21,hotel.jpg,/images/21,png,4229,law,04/05/2023,University,Friends,Trip,Food,Family
22,activity.jpg,/images/22,jpeg,2270,much,20/08/2020,Friends,Family,Food,-,Trip
23,man.jpg,/images/23,jpeg,2418,bank,09/08/2021,Trip,University,-,Friends,Food
24,lay.jpg,/images/24,png,3733,service,23/10/2020,Friends,Family,Trip,College,-
25,personal.jpg,/images/25,jpeg,3256,or,16/07/2023,College,Food,-,Family,Friends
26,nor.jpg,/images/26,jpeg,2282,put,26/04/2020,Friends,-,College,University,Family
27,assume.jpg,/images/27,png,4616,teach,04/01/2020,Friends,Trip,Food,University,College
28,you.jpg,/images/28,jpeg,4727,enjoy,17/10/2021,Friends,Trip,Food,University,College
29,establish.jpg,/images/29,png,3891,also,26/08/2020,University,-,Food,Friends,College
30,sign.jpg,/images/30,png,1727,father,08/03/2021,Food,-,Family,College,Trip
31,vote.jpg,/images/31,png,2936,property,17/11/2021,Food,University,Family,College,-
32,parent.jpg,/images/32,png,2015,role,26/09/2020,Friends,University,-,Family,Food
33,trial.jpg,/images/33,jpeg,1237,manage,18/12/2022,Friends,Trip,-,University,Food
34,growth.jpg,/images/34,jpeg,2557,environmental,04/09/2021,College,University,Trip,-,Friends
35,purpose.jpg,/images/35,png,2111,science,16/07/2022,-,Food,Family,University,Friends
36,travel.jpg,/images/36,jpeg,1470,suffer,02/06/2023,Family,College,Trip,-,Food
37,situation.jpg,/images/37,jpeg,1672,particularly,26/06/2020,Family,Friends,University,Food,-
38,former.jpg,/images/38,png,2791,weight,05/04/2021,Food,College,Friends,Family,University
39,Democrat.jpg,/images/39,png,3295,few,27/01/2023,Trip,University,Friends,Food,College
40,various.jpg,/images/40,png,3698,model,25/03/2023,Trip,Friends,Food,Family,University
41,create.jpg,/images/41,png,3656,treat,05/05/2022,College,Food,University,Family,Trip
42,success.jpg,/images/42,jpeg,866,cultural,23/06/2023,Family,Friends,-,College,University
43,final.jpg,/images/43,jpeg,4787,certain,18/12/2021,-,College,Friends,Family,Trip
44,energy.jpg,/images/44,png,1740,couple,25/06/2021,Food,-,College,Friends,Family
